genes	predicted_functions
sybu	uberon_0000033:0.191341936304,uberon_0009124:0.000635687496027,uberon_0001944:0.000635687496027
dkk2	uberon_0000033:1.57255075257,uberon_0009124:0.00101709999364,uberon_0001944:0.00101709999364
slc12a5b	uberon_0000033:0.0382683872608,uberon_0009124:0.000127137499205,uberon_0001944:0.000127137499205
nup153	uberon_0000033:25.1247068712,uberon_0009124:0.0147479499078,uberon_0001944:0.0147479499078
cep290	uberon_0000033:7.15184004533,uberon_0009124:0.0106795499333,uberon_0001944:0.0106795499333
rnf2	uberon_0000033:11.2329477234,uberon_0009124:0.00864534994597,uberon_0001944:0.00864534994597
lef1	uberon_0009124:51.5254919335,uberon_0001944:51.5254919335,uberon_0000033:27.2208153248
eif3i	uberon_0000033:239.44883596,uberon_0009124:0.0184349373848,uberon_0001944:0.0184349373848
eif3c	uberon_0000033:350.970263564,uberon_0009124:0.0193248998792,uberon_0001944:0.0193248998792
eif3d	uberon_0000033:249.049495878,uberon_0009124:0.0194520373784,uberon_0001944:0.0194520373784
eif3g	uberon_0000033:233.282024539,uberon_0009124:0.0180535248872,uberon_0001944:0.0180535248872
erbb3b	uberon_0000033:8.72215100993,uberon_0009124:0.0258089123387,uberon_0001944:0.0258089123387
sema3aa	uberon_0000033:0.0382683872608,uberon_0009124:0.000127137499205,uberon_0001944:0.000127137499205
gdnfa	uberon_0000033:0.281131856487,uberon_0009124:0.00457694997139,uberon_0001944:0.00457694997139
cftr	uberon_0000033:2.14227213412,uberon_0009124:0.0110609624309,uberon_0001944:0.0110609624309
ptmab	uberon_0000033:0.0382048185112,uberon_0009124:0.000127137499205,uberon_0001944:0.000127137499205
mef2aa	uberon_0000033:17.8863025005,uberon_0009124:0.0175449748903,uberon_0001944:0.0175449748903
nmd3	uberon_0000033:231.572963301,uberon_0009124:0.0189434873816,uberon_0001944:0.0189434873816
dnajc9	uberon_0000033:10.3392607848,uberon_0009124:0.00305129998093,uberon_0001944:0.00305129998093
naa10	uberon_0000033:0.229228911067,uberon_0009124:0.000762824995232,uberon_0001944:0.000762824995232
rerea	uberon_0000033:0.191024092556,uberon_0009124:0.000635687496027,uberon_0001944:0.000635687496027
pard6gb	uberon_0000033:0.0225486043123,uberon_0009124:0.00597546246265,uberon_0001944:0.00597546246265
cib2	uberon_0000033:0.0765367745216,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
snw1	uberon_0000033:16.2803721884,uberon_0009124:0.0115695124277,uberon_0001944:0.0115695124277
ptprb	uberon_0000033:1.25214434645,uberon_0009124:0.00114423749285,uberon_0001944:0.00114423749285
ptpra	uberon_0000033:0.91844129426,uberon_0009124:0.00305129998093,uberon_0001944:0.00305129998093
ptpro	uberon_0000033:0.153073549043,uberon_0009124:0.000508549996822,uberon_0001944:0.000508549996822
sod2	uberon_0000033:2.54729233381,uberon_0009124:0.00610259996186,uberon_0001944:0.00610259996186
lrrk2	uberon_0000033:5.61111958595,uberon_0009124:0.0181806623864,uberon_0001944:0.0181806623864
smo	uberon_0000033:1.78039934891,uberon_0009124:0.0047040874706,uberon_0001944:0.0047040874706
runx3	uberon_0000033:1.29083551551,uberon_0009124:0.0125866124213,uberon_0001944:0.0125866124213
runx1	uberon_0000033:7.95829514574,uberon_0009124:0.00114423749285,uberon_0001944:0.00114423749285
syf2	uberon_0000033:14.7677516095,uberon_0009124:0.0024156124849,uberon_0001944:0.0024156124849
cmlc1	uberon_0000033:0.0765367745216,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
etfa	uberon_0000033:0.561731156898,uberon_0009124:0.00394126247537,uberon_0001944:0.00394126247537
chst11	uberon_0000033:0.102427212476,uberon_0009124:0.0024156124849,uberon_0001944:0.0024156124849
frem1a	uberon_0000033:0.0382683872608,uberon_0009124:0.000127137499205,uberon_0001944:0.000127137499205
ralgps1	uberon_0000033:0.0382683872608,uberon_0009124:0.000127137499205,uberon_0001944:0.000127137499205
kita	uberon_0000033:0.0366696182792,uberon_0009124:0.0184349373848,uberon_0001944:0.0184349373848
ttc4	uberon_0000033:9.68069639248,uberon_0009124:0.00317843748013,uberon_0001944:0.00317843748013
ryr3	uberon_0000033:0.574025808912,uberon_0009124:0.00190706248808,uberon_0001944:0.00190706248808
sdc3	uberon_0009124:0.00686542495709,uberon_0001944:0.00686542495709,uberon_0000033:0.00213952214963
sdc4	uberon_0000033:0.0166250921125,uberon_0009124:0.0124594749221,uberon_0001944:0.0124594749221
lig4	uberon_0000033:0.804547591286,uberon_0009124:0.00355984997775,uberon_0001944:0.00355984997775
lats2	uberon_0000033:1.80907935235,uberon_0009124:0.00686542495709,uberon_0001944:0.00686542495709
lats1	uberon_0000033:3.21947506239,uberon_0009124:0.00368698747696,uberon_0001944:0.00368698747696
sept6	uberon_0000033:0.995806796196,uberon_0009124:0.00127137499205,uberon_0001944:0.00127137499205
kcnk1b	uberon_0000033:0.0765367745216,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
cdkal1	uberon_0000033:0.114805161782,uberon_0009124:0.000381412497616,uberon_0001944:0.000381412497616
kcnk1a	uberon_0000033:0.229610323565,uberon_0009124:0.000762824995232,uberon_0001944:0.000762824995232
mvp	uberon_0000033:0.0765367745216,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
lgsn	uberon_0000033:7.95829514574,uberon_0009124:0.00114423749285,uberon_0001944:0.00114423749285
pi4kaa	uberon_0000033:24.7587931455,uberon_0009124:0.00661114995868,uberon_0001944:0.00661114995868
atr	uberon_0000033:22.7657377923,uberon_0009124:0.0188163498824,uberon_0001944:0.0188163498824
zmiz2	uberon_0000033:0.420952259869,uberon_0009124:0.00139851249126,uberon_0001944:0.00139851249126
vangl2	uberon_0000033:11.0423400529,uberon_0009124:0.0071196999555,uberon_0001944:0.0071196999555
top3a	uberon_0000033:0.00831254605626,uberon_0009124:0.00622973746106,uberon_0001944:0.00622973746106
chd2	uberon_0000033:4.05380141082,uberon_0009124:0.00330557497934,uberon_0001944:0.00330557497934
chd7	uberon_0000033:3.48303418145,uberon_0009124:0.00355984997775,uberon_0001944:0.00355984997775
chd8	uberon_0000033:35.2774076641,uberon_0009124:0.00521263746742,uberon_0001944:0.00521263746742
enpp2	uberon_0000033:0.343843366601,uberon_0009124:0.00114423749285,uberon_0001944:0.00114423749285
agrp	uberon_0000033:0.402273795643,uberon_0009124:0.00177992498888,uberon_0001944:0.00177992498888
enpp1	uberon_0000033:0.0763526741577,uberon_0009124:0.00546691246583,uberon_0001944:0.00546691246583
agrn	uberon_0000033:0.0382683872608,uberon_0009124:0.000127137499205,uberon_0001944:0.000127137499205
colec12	uberon_0000033:0.0382683872608,uberon_0009124:0.000127137499205,uberon_0001944:0.000127137499205
fabp3	uberon_0000033:0.191024092556,uberon_0009124:0.000635687496027,uberon_0001944:0.000635687496027
foxl1	uberon_0000033:0.229228911067,uberon_0009124:0.000762824995232,uberon_0001944:0.000762824995232
mybpc2b	uberon_0000033:1.83688258852,uberon_0009124:0.00610259996186,uberon_0001944:0.00610259996186
ncor2	uberon_0001944:37.5504259905,uberon_0000033:1.504246942,uberon_0009124:0.0253003623419
ncor1	uberon_0000033:1.66412160416,uberon_0009124:0.0169092873943,uberon_0001944:0.0169092873943
rasa3	uberon_0000033:0.267878710826,uberon_0009124:0.000889962494438,uberon_0001944:0.000889962494438
piwil2	uberon_0000033:7.10505004864,uberon_0009124:0.0024156124849,uberon_0001944:0.0024156124849
piwil1	uberon_0000033:0.507583590997,uberon_0009124:0.00165278748967,uberon_0001944:0.00165278748967
pgm5	uberon_0000033:1.10978323056,uberon_0009124:0.00368698747696,uberon_0001944:0.00368698747696
cldne	uberon_0000033:0.103529420164,uberon_0009124:0.00457694997139,uberon_0001944:0.00457694997139
dlx4b	uberon_0009124:1426.09370612,uberon_0000033:1.59303710808,uberon_0001944:0.00279702498252
pigp	uberon_0000033:2.00091145881,uberon_0009124:0.000889962494438,uberon_0001944:0.000889962494438
slc7a7	uberon_0000033:0.114614455534,uberon_0009124:0.000381412497616,uberon_0001944:0.000381412497616
pdzd7a	uberon_0000033:0.153073549043,uberon_0009124:0.000508549996822,uberon_0001944:0.000508549996822
ush1c	uberon_0000033:0.382683872608,uberon_0009124:0.00127137499205,uberon_0001944:0.00127137499205
als2b	uberon_0000033:3.41758778348,uberon_0009124:0.000635687496027,uberon_0001944:0.000635687496027
stx1b	uberon_0000033:1.21854543437,uberon_0009124:0.0095353124404,uberon_0001944:0.0095353124404
dpf3	uberon_0000033:0.0765367745216,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
agr2	uberon_0000033:11.1421513925,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
e4f1	uberon_0000033:5.92321743655,uberon_0009124:0.00139851249126,uberon_0001944:0.00139851249126
e2f7	uberon_0000033:4.68588085801,uberon_0009124:0.000508549996822,uberon_0001944:0.000508549996822
lpar1	uberon_0000033:4.25551751394,uberon_0009124:0.0405568622465,uberon_0001944:0.0405568622465
