function	number_of_genes	ROC_auc	PR_auc
uberon_2001378	1	0.494060246	0.000212044
uberon_0003501	2	0.496393721	0.000212044
uberon_0019269	2	0.998938879	0.146045377
uberon_0001638	1	0.478786593	0.000212044
uberon_0004750	11	0.478316327	0.001272265
uberon_4000175	5	0.480458794	0.000848176
uberon_0004752	77	0.592660036	0.053601957
uberon_0000982	7	0.633286747	0.091775179
uberon_0001630	117	0.629724513	0.065368078
uberon_0001631	40	0.750161221	0.05672191
uberon_4000172	4	0.493842887	0.000636132
uberon_2000597	25	0.723128743	0.031874217
uberon_0010276	1	0.499575732	0.000212044
uberon_0002264	3	0.49172326	0.000424088
uberon_0003045	2	0.496393721	0.000212044
